"Location","Symbol","Year","Parameter","Month","Value"
"Mirpur Bridge","L1",2014,"DO","August",5.48
"Mirpur Bridge","L1",2014,"DO","September",4.9
"Mirpur Bridge","L1",2014,"DO","October",2.2
"Mirpur Bridge","L1",2014,"DO","November",4.5
"Mirpur Bridge","L1",2014,"DO","December",2.9
"Mirpur Bridge","L1",2015,"DO","January",0.7
"Mirpur Bridge","L1",2015,"DO","February",0.8
"Mirpur Bridge","L1",2015,"DO","March",0.7
"Mirpur Bridge","L1",2015,"DO","April",0.7
"Mirpur Bridge","L1",2015,"DO","May",2.5
"Mirpur Bridge","L1",2015,"DO","June",2.3
"Mirpur Bridge","L1",2015,"DO","July",5.7
"Mirpur Bridge","L1",2015,"DO","August",5.6
"Mirpur Bridge","L1",2015,"DO","September",4.6
"Mirpur Bridge","L1",2015,"DO","October",4.5
"Mirpur Bridge","L1",2015,"DO","November",2.4
"Mirpur Bridge","L1",2015,"DO","December",1.3
"Mirpur Bridge","L1",2016,"DO","January",0.5
"Mirpur Bridge","L1",2016,"DO","February",0.2
"Mirpur Bridge","L1",2016,"DO","March",2
"Mirpur Bridge","L1",2016,"DO","April",1
"Mirpur Bridge","L1",2016,"DO","May",2
"Mirpur Bridge","L1",2016,"DO","June",2.2
"Mirpur Bridge","L1",2016,"DO","July",4
"Mirpur Bridge","L1",2016,"DO","August",5
"Mirpur Bridge","L1",2016,"DO","September",4.5
"Mirpur Bridge","L1",2016,"DO","October",4
"Mirpur Bridge","L1",2016,"DO","November",2.3
"Mirpur Bridge","L1",2016,"DO","December",1.2
"Mirpur Bridge","L1",2017,"DO","January",NA
"Mirpur Bridge","L1",2017,"DO","February",0.72
"Mirpur Bridge","L1",2017,"DO","March",3
"Mirpur Bridge","L1",2017,"DO","April",2.4
"Mirpur Bridge","L1",2017,"DO","May",0.75
"Mirpur Bridge","L1",2017,"DO","June",0.75
"Mirpur Bridge","L1",2017,"DO","July",4.93
"Mirpur Bridge","L1",2017,"DO","August",4.78
"Mirpur Bridge","L1",2017,"DO","September",4.54
"Mirpur Bridge","L1",2017,"DO","October",5.58
"Mirpur Bridge","L1",2017,"DO","November",3.73
"Mirpur Bridge","L1",2017,"DO","December",1.5
"Mirpur Bridge","L1",2018,"DO","January",0.69
"Mirpur Bridge","L1",2018,"DO","February",0.7
"Mirpur Bridge","L1",2018,"DO","March",0.73
"Mirpur Bridge","L1",2018,"DO","April",2
"Mirpur Bridge","L1",2018,"DO","May",0.79
"Mirpur Bridge","L1",2018,"DO","June",0.76
"Mirpur Bridge","L1",2018,"DO","July",4
"Mirpur Bridge","L1",2018,"DO","August",4.6
"Mirpur Bridge","L1",2018,"DO","September",4.3
"Mirpur Bridge","L1",2018,"DO","October",5
"Mirpur Bridge","L1",2018,"DO","November",3.6
"Mirpur Bridge","L1",2018,"DO","December",1.6
"Mirpur Bridge","L1",2019,"DO","January",0.74
"Mirpur Bridge","L1",2019,"DO","February",0.45
"Mirpur Bridge","L1",2019,"DO","March",0.34
"Mirpur Bridge","L1",2019,"DO","April",0.75
"Mirpur Bridge","L1",2019,"DO","May",0.78
"Mirpur Bridge","L1",2019,"DO","June",1.6
"Mirpur Bridge","L1",2019,"DO","July",2.5
"Mirpur Bridge","L1",2019,"DO","August",5.7
"Mirpur Bridge","L1",2019,"DO","September",5
"Mirpur Bridge","L1",2019,"DO","October",4.9
"Mirpur Bridge","L1",2019,"DO","November",2.8
"Mirpur Bridge","L1",2019,"DO","December",1.3
"Mirpur Bridge","L1",2020,"DO","January",0.7
"Mirpur Bridge","L1",2020,"DO","February",0.7
"Mirpur Bridge","L1",2020,"DO","March",0.7
"Mirpur Bridge","L1",2020,"DO","April",2.67
"Mirpur Bridge","L1",2020,"DO","May",1.83
"Mirpur Bridge","L1",2020,"DO","June",3.69
"Mirpur Bridge","L1",2020,"DO","July",4.42
"Mirpur Bridge","L1",2020,"DO","August",5.6
"Mirpur Bridge","L1",2020,"DO","September",5.79
"Mirpur Bridge","L1",2020,"DO","October",4.8
"Mirpur Bridge","L1",2020,"DO","November",3.1
"Mirpur Bridge","L1",2020,"DO","December",2.11
"Mirpur Bridge","L1",2021,"DO","January",0.72
"Mirpur Bridge","L1",2021,"DO","February",0.77
"Mirpur Bridge","L1",2021,"DO","March",0.7
"Mirpur Bridge","L1",2021,"DO","April",0.73
"Mirpur Bridge","L1",2021,"DO","May",0.76
"Mirpur Bridge","L1",2021,"DO","June",3
"Mirpur Bridge","L1",2021,"DO","July",4
"Mirpur Bridge","L1",2021,"DO","August",5
"Mirpur Bridge","L1",2021,"DO","September",5.5
"Mirpur Bridge","L1",2021,"DO","October",4
"Mirpur Bridge","L1",2021,"DO","November",3
"Mirpur Bridge","L1",2021,"DO","December",2
"Mirpur Bridge","L1",2022,"DO","January",1.4
"Mirpur Bridge","L1",2022,"DO","February",1.1
"Mirpur Bridge","L1",2022,"DO","March",0.72
"Mirpur Bridge","L1",2022,"DO","April",0.77
"Mirpur Bridge","L1",2022,"DO","May",0.8
"Mirpur Bridge","L1",2022,"DO","June",5.24
"Mirpur Bridge","L1",2022,"DO","July",5.3
"Mirpur Bridge","L1",2022,"DO","August",5.52
"Mirpur Bridge","L1",2022,"DO","September",5.3
"Mirpur Bridge","L1",2022,"DO","October",5.4
"Mirpur Bridge","L1",2022,"DO","November",4.2
"Mirpur Bridge","L1",2022,"DO","December",2.4
"Mirpur Bridge","L1",2023,"DO","January",1.9
"Mirpur Bridge","L1",2023,"DO","February",1.31
"Mirpur Bridge","L1",2023,"DO","March",0.72
"Mirpur Bridge","L1",2023,"DO","April",0.73
"Mirpur Bridge","L1",2023,"DO","May",0.79
"Mirpur Bridge","L1",2023,"DO","June",5
"Mirpur Bridge","L1",2023,"DO","July",4.77
"Mirpur Bridge","L1",2023,"DO","August",5.34
"Mirpur Bridge","L1",2023,"DO","September",6.79
"Mirpur Bridge","L1",2023,"DO","October",5.5
"Mirpur Bridge","L1",2023,"DO","November",2.99
"Mirpur Bridge","L1",2023,"DO","December",2
"Mirpur Bridge","L1",2010,"BOD","January",15
"Mirpur Bridge","L1",2010,"BOD","February",20
"Mirpur Bridge","L1",2010,"BOD","March",40
"Mirpur Bridge","L1",2010,"BOD","April",20
"Mirpur Bridge","L1",2010,"BOD","May",25
"Mirpur Bridge","L1",2010,"BOD","June",15
"Mirpur Bridge","L1",2010,"BOD","July",12
"Mirpur Bridge","L1",2010,"BOD","August",16
"Mirpur Bridge","L1",2010,"BOD","September",18
"Mirpur Bridge","L1",2010,"BOD","October",16
"Mirpur Bridge","L1",2010,"BOD","November",3.6
"Mirpur Bridge","L1",2010,"BOD","December",11
"Mirpur Bridge","L1",2011,"BOD","January",22
"Mirpur Bridge","L1",2011,"BOD","February",20
"Mirpur Bridge","L1",2011,"BOD","March",48
"Mirpur Bridge","L1",2011,"BOD","April",24
"Mirpur Bridge","L1",2011,"BOD","May",26
"Mirpur Bridge","L1",2011,"BOD","June",16
"Mirpur Bridge","L1",2011,"BOD","July",18
"Mirpur Bridge","L1",2011,"BOD","August",18
"Mirpur Bridge","L1",2011,"BOD","September",20
"Mirpur Bridge","L1",2011,"BOD","October",18
"Mirpur Bridge","L1",2011,"BOD","November",3.2
"Mirpur Bridge","L1",2011,"BOD","December",12
"Mirpur Bridge","L1",2012,"BOD","January",14
"Mirpur Bridge","L1",2012,"BOD","February",12
"Mirpur Bridge","L1",2012,"BOD","March",15
"Mirpur Bridge","L1",2012,"BOD","April",18
"Mirpur Bridge","L1",2012,"BOD","May",28
"Mirpur Bridge","L1",2012,"BOD","June",21
"Mirpur Bridge","L1",2012,"BOD","July",3.2
"Mirpur Bridge","L1",2012,"BOD","August",12
"Mirpur Bridge","L1",2012,"BOD","September",0
"Mirpur Bridge","L1",2012,"BOD","October",8
"Mirpur Bridge","L1",2012,"BOD","November",4
"Mirpur Bridge","L1",2012,"BOD","December",12
"Mirpur Bridge","L1",2013,"BOD","January",10
"Mirpur Bridge","L1",2013,"BOD","February",5
"Mirpur Bridge","L1",2013,"BOD","March",19
"Mirpur Bridge","L1",2013,"BOD","April",56
"Mirpur Bridge","L1",2013,"BOD","May",8
"Mirpur Bridge","L1",2013,"BOD","June",20
"Mirpur Bridge","L1",2013,"BOD","July",8
"Mirpur Bridge","L1",2013,"BOD","August",0
"Mirpur Bridge","L1",2013,"BOD","September",10
"Mirpur Bridge","L1",2013,"BOD","October",12
"Mirpur Bridge","L1",2013,"BOD","November",3
